week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2024-03-25/2024-03-31,2934.816779752917,2934.816779752917,0.0,0,0.0
2024-04-01/2024-04-07,2934.816779752917,3053.8852313242764,119.06845157135986,1,4.057100000000147
2024-04-08/2024-04-14,3053.8852313242764,3089.498407122345,35.613175798068326,2,1.1661595999999275
2024-04-15/2024-04-21,3089.498407122345,3332.051916361687,242.55350923934196,3,7.850902550400218
2024-04-22/2024-04-28,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-04-29/2024-05-05,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-05-06/2024-05-12,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-05-13/2024-05-19,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-05-20/2024-05-26,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-05-27/2024-06-02,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-06-03/2024-06-09,3332.051916361687,3152.479121864252,-179.5727944974348,2,-5.389255600000153
2024-06-10/2024-06-16,3152.479121864252,3269.13345928972,116.65433742546814,1,3.7004000000000925
2024-06-17/2024-06-23,3269.13345928972,3269.13345928972,0.0,0,0.0
2024-06-24/2024-06-30,3269.13345928972,3269.13345928972,0.0,0,0.0
2024-07-01/2024-07-07,3269.13345928972,3309.99435839738,40.860899107659904,1,1.2498999999999372
2024-07-08/2024-07-14,3309.99435839738,3309.99435839738,0.0,0,0.0
